date,nav_usd,bench_usd,diff_usd,diff_pct,cash_ratio
2026-08-05,63283.09,63414.76,-131.67,-0.2076,0.048
2026-08-06,63419.73,63581.71,-161.99,-0.2548,0.0479
2026-08-07,63495.55,63423.66,71.88,0.1133,0.0476
2026-08-12,63956.0,63619.62,336.38,0.5287,0.047
2026-08-13,64211.06,64056.25,154.81,0.2417,0.0468
2026-08-14,64163.39,63881.27,282.12,0.4416,0.1772
2026-08-17,64270.56,63792.2,478.37,0.7499,0.1769
2026-08-18,63554.5,63163.33,391.17,0.6193,0.0802
2026-08-19,63907.33,63313.27,594.05,0.9383,0.0798
2026-08-20,63673.71,62909.1,764.62,1.2154,0.0801
2026-08-21,64027.59,62995.03,1032.55,1.6391,0.0797
2026-08-24,63842.91,62807.49,1035.42,1.6486,0.0799
2026-08-25,64052.12,62953.86,1098.26,1.7445,0.0796
2026-08-26,63949.92,63005.46,944.46,1.499,0.0798
2026-08-27,64290.84,63462.77,828.07,1.3048,0.0793
2026-08-28,63850.56,63311.03,539.52,0.8522,0.0799
2026-08-31,63678.14,63077.39,600.75,0.9524,0.0801
2026-09-03,64249.02,63674.77,574.26,0.9019,0.0794
