date,nav_usd,bench_usd,diff_usd,diff_pct,cash_ratio,open_lots
2026-08-14,500000.0,500000.0,0.0,0.0,1.0,0
2026-08-17,500000.0,499302.84,697.16,0.1396,1.0,0
2026-08-18,499990.83,494380.69,5610.14,1.1348,0.7007,5
2026-08-19,501678.06,495554.3,6123.75,1.2357,0.6984,5
2026-08-20,498767.82,492390.81,6377.01,1.2951,0.5223,8
2026-08-21,497551.04,493063.45,4487.59,0.9101,0.2827,12
2026-08-24,496806.69,491595.56,5211.14,1.06,0.0426,15
2026-08-25,498132.36,492741.14,5391.21,1.0941,0.0129,15
2026-08-26,505003.08,493145.08,11858.01,2.4046,0.0128,15
2026-08-27,502631.67,496724.41,5907.26,1.1892,0.0128,15
2026-08-28,502118.73,495536.79,6581.94,1.3282,0.0128,15
2026-08-31,500946.01,493708.06,7237.95,1.466,0.0129,15
2026-09-03,501748.67,498383.72,3364.94,0.6752,0.0129,15
