date,action,ticker,shares,price,amount_jpy,rule,lot_id,note,name
2026-08-24,BUY,6367,100,20855.0,2085500.0,entry,6367-2026-08-24-1,RSI14=28.1 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Daikin Industries
2026-08-24,BUY,6013,900,3065.0,2758500.0,entry,6013-2026-08-24-1,RSI14=31.2 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Takuma
2026-08-24,BUY,6235,1100,2655.0,2920500.0,entry,6235-2026-08-24-1,RSI14=32.2 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Optorun
2026-08-24,BUY,6479,800,3344.0,2675200.0,entry,6479-2026-08-24-1,RSI14=32.6 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Minebea Mitsumi
2026-08-24,BUY,5334,300,8719.0,2615700.0,entry,5334-2026-08-24-1,RSI14=33.4 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Niterra
2026-08-24,BUY,3905,1800,1662.0,2991600.0,entry,3905-2026-08-24-1,RSI14=33.6 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Datasection
2026-08-24,BUY,7966,500,5440.0,2720000.0,entry,7966-2026-08-24-1,RSI14=33.9 lot_size=100・moomoo発注なし・台帳のみの仮想売買,LINTEC
2026-08-24,BUY,268A,1700,1671.0,2840700.0,entry,268A-2026-08-24-1,RSI14=34.2 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Rigaku Holdings
2026-08-24,BUY,4980,1000,2903.5,2903500.0,entry,4980-2026-08-24-1,RSI14=34.8 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Dexerials
2026-08-24,BUY,4966,100,19050.0,1905000.0,entry,4966-2026-08-24-1,RSI14=34.8 lot_size=100・moomoo発注なし・台帳のみの仮想売買,C. Uyemura
2026-08-24,BUY,4047,1200,2323.0,2787600.0,entry,4047-2026-08-24-1,RSI14=34.8 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Kanto Denka Kogyo
2026-08-24,BUY,7532,3700,810.7,2999590.0,entry,7532-2026-08-24-1,RSI14=35.0 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Pan Pacific International Holdings
2026-08-25,BUY,1979,700,3900.0,2730000.0,entry,1979-2026-08-25-1,RSI14=33.5 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Taikisha
2026-08-25,BUY,6707,400,7398.0,2959200.0,entry,6707-2026-08-25-1,RSI14=34.6 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Sanken Electric
2026-08-25,BUY,6141,900,3037.0,2733300.0,entry,6141-2026-08-25-1,RSI14=34.9 lot_size=100・moomoo発注なし・台帳のみの仮想売買,Dmg Mori
2026-08-26,BUY,4980,400,3019.0,1207600.0,pyramid1,4980-2026-08-24-1,moomoo発注なし・台帳のみの仮想売買,Dexerials
2026-08-26,BUY,7966,200,5580.0,1116000.0,pyramid1,7966-2026-08-24-1,moomoo発注なし・台帳のみの仮想売買,LINTEC
2026-08-27,BUY,4047,600,2393.0,1435800.0,pyramid1,4047-2026-08-24-1,moomoo発注なし・台帳のみの仮想売買,Kanto Denka Kogyo
2026-08-27,BUY,4980,200,3078.0,615600.0,pyramid2,4980-2026-08-24-1,moomoo発注なし・台帳のみの仮想売買,Dexerials
2026-08-27,BUY,6235,500,2727.0,1363500.0,pyramid1,6235-2026-08-24-1,moomoo発注なし・台帳のみの仮想売買,Optorun
